name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
Banco Bradesco S.A.,BBD,4.07,-0.12,36.61,43.247,9.5
"Micron Technology, Inc.",MU,449.38,0.96,25.655,506.781,21.41
Denison Mines Corp.,DNN,3.81,-0.15,20.741,3.444,
Norwegian Cruise Line Holdings Ltd.,NCLH,19.33,-0.93,17.04,8.806,22.94
Broadcom Inc.,AVGO,402.17,2.54,12.715,1907.0,79.23
CSX Corporation,CSX,43.37,-0.34,10.802,80.668,28.13
CCC Intelligent Solutions Holdings Inc.,CCC,5.37,-0.28,9.558,3.26,9038.46
Chevron Corporation,CVX,185.98,2.73,8.08,370.453,27.75
"Oscar Health, Inc.",OSCR,16.17,-0.27,7.24,4.815,
3M Company,MMM,148.47,-2.93,6.564,78.199,22.02
The Campbell's Company,CPB,20.91,-0.35,5.923,6.234,11.41
Cognizant Technology Solutions Corporation,CTSH,60.45,0.19,5.415,29.176,13.44
"Flagstar Bank, National Association",FLG,14.41,-0.4,5.019,5.994,
Valley National Bancorp,VLY,13.4,-0.19,5.016,7.443,13.39
