name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
"Intuitive Surgical, Inc.",ISRG,451.29,-14.31,2.889,160.285,57.34
Faraday Future Intelligent Electric Inc.,FFAI,0.5319,0.2452,563.673,0.132321,
Capital One Financial Corporation,COF,202.5,-3.21,4.089,125.941,60.45
Opendoor Technologies Inc.,OPEN,5.45,0.1,79.186,4.293,
Ondas Inc.,ONDS,10.87,0.14,79.012,5.243,
Opendoor Technologies Inc.,OPEN,5.45,0.1,74.43,5.223,
American Airlines Group Inc.,AAL,11.77,-0.47,64.033,7.772,75.99
"SoFi Technologies, Inc.",SOFI,18.83,-0.67,62.113,23.975,50.39
Nokia Oyj,NOK,10.4,-0.2,61.45,58.058,78.6
B2Gold Corp.,BTG,4.72,-0.22,58.694,6.346,18.14
"Hims & Hers Health, Inc.",HIMS,29.76,-1.25,56.637,6.783,56.26
Snap Inc.,SNAP,5.64,-0.36,53.405,9.526,
"SoundHound AI, Inc.",SOUN,7.85,-0.47,52.824,3.346,
"Netflix, Inc.",NFLX,92.58,-2.25,50.142,390.846,31.43
"Tesla, Inc.",TSLA,386.42,-6.08,47.669,1449.0,370.94
"Lucid Group, Inc.",LCID,7.11,0.36,47.043,2.604,
Palantir Technologies Inc.,PLTR,145.97,0.08,44.607,349.113,232.37
NuScale Power Corporation,SMR,11.67,-1.12,42.597,3.778,
Apple Inc.,AAPL,266.17,-6.88,40.591,3913.0,34.27
Webull Corporation,BULL,7.02,0.01,39.303,3.733,
"MARA Holdings, Inc.",MARA,11.23,-0.4,38.948,4.27,
Grab Holdings Limited,GRAB,4.08,-0.13,38.257,16.73,70.17
"IonQ, Inc.",IONQ,46.28,-2.04,38.091,17.016,
"Amazon.com, Inc.",AMZN,249.91,1.63,37.209,2688.0,34.95
Banco Bradesco S.A.,BBD,4.07,-0.12,36.61,43.247,9.5
"Robinhood Markets, Inc.",HOOD,86.43,-4.85,36.344,77.814,44.27
"Advanced Micro Devices, Inc.",AMD,284.49,9.54,36.002,463.836,106.66
BlackBerry Limited,BB,5.61,0.11,35.838,3.309,53.99
Oracle Corporation,ORCL,181.17,3.59,35.651,521.053,31.41
"Hertz Global Holdings, Inc.",HTZ,7.17,-0.64,33.629,2.259,
D-Wave Quantum Inc.,QBTS,20.36,-1.3,32.872,7.531,
"Bitmine Immersion Technologies, Inc.",BMNR,21.71,-0.82,32.119,11.672,
AT&T Inc.,T,25.88,-0.3,32.075,181.175,8.69
Fermi Inc.,FRMI,5.06,-0.34,31.785,3.187,
"Marvell Technology, Inc.",MRVL,151.31,3.47,31.766,132.314,45.5
NIO Inc.,NIO,6.43,-0.23,31.661,16.111,
Comcast Corporation,CMCSA,29.05,-0.68,30.919,105.855,5.5
IREN Limited,IREN,45.17,-3.55,30.214,14.98,36.06
JetBlue Airways Corporation,JBLU,5.46,-0.29,30.121,2.031,
"QXO, Inc.",QXO,22.5,-1.72,29.776,16.311,
Ambev S.A.,ABEV,3.07,0.0,28.816,47.882,15.51
Redwire Corporation,RDW,10.31,0.1,28.743,2.051,
"Rigetti Computing, Inc.",RGTI,18.25,-1.39,28.579,6.062,
"Rocket Companies, Inc.",RKT,15.91,-1.21,28.172,44.863,
Ford Motor Company,F,12.78,-0.09,27.886,51.262,
"USA Rare Earth, Inc.",USAR,22.85,0.27,27.711,4.981,
Microsoft Corporation,MSFT,424.16,6.09,26.319,3153.0,26.46
Archer Aviation Inc.,ACHR,5.94,-0.17,26.149,4.454,
Freshworks Inc.,FRSH,8.83,0.05,26.077,2.509,13.56
"Micron Technology, Inc.",MU,449.38,0.96,25.655,506.781,21.41
HP Inc.,HPQ,21.09,1.5,25.634,19.36,7.52
Transocean Ltd.,RIG,6.05,0.16,25.167,6.696,
Carnival Corporation & plc,CCL,27.36,-1.65,25.152,37.897,13.1
"Super Micro Computer, Inc.",SMCI,28.43,-0.38,24.958,17.072,20.85
Rocket Lab Corporation,RKLB,86.64,-2.82,24.905,50.082,
Pfizer Inc.,PFE,27.31,-0.21,24.745,155.349,20.26
Tractor Supply Company,TSCO,39.57,-5.24,24.706,20.828,21.85
Bank of America Corporation,BAC,53.48,-0.47,24.649,534.172,13.38
Applied Digital Corporation,APLD,31.32,-0.87,24.485,8.95,
Boston Scientific Corporation,BSX,59.52,-1.47,24.21,88.457,33.11
"Core Scientific, Inc.",CORZ,20.77,0.9,24.186,6.555,
"UiPath, Inc.",PATH,10.78,0.22,24.098,5.765,20.02
Novo Nordisk A/S,NVO,39.42,-1.04,23.954,175.507,11.31
Cipher Digital Inc.,CIFR,18.04,-1.25,23.599,7.308,
Cleveland-Cliffs Inc.,CLF,9.13,-0.6,23.563,5.208,
UnitedHealth Group Incorporated,UNH,346.01,22.53,23.501,314.11,24.54
"Venture Global, Inc.",VG,12.09,0.64,23.314,30.014,13.33
Nu Holdings Ltd.,NU,15.05,-0.05,23.061,73.152,26.24
Alphabet Inc.,GOOGL,332.29,-5.13,23.06,4019.9999999999995,31.64
TeraWulf Inc.,WULF,19.77,-0.73,22.832,9.685,
"Coeur Mining, Inc.",CDE,18.44,-1.34,22.772,19.087,21.45
"AXT, Inc.",AXTI,74.97,-3.79,22.083,4.167,
"ServiceNow, Inc.",NOW,100.14,0.42,21.957,104.746,57.88
Lloyds Banking Group plc,LYG,5.42,-0.2,21.869,97.646,15.23
Denison Mines Corp.,DNN,3.81,-0.15,20.741,3.444,
Verizon Communications Inc.,VZ,46.27,-0.17,20.737,195.152,11.47
"Figma, Inc.",FIG,18.72,-0.29,20.671,9.767,
PG&E Corporation,PCG,16.98,-0.37,20.395,37.394,14.63
"Amprius Technologies, Inc.",AMPX,21.43,1.82,20.324,2.936,
Hewlett Packard Enterprise Company,HPE,28.76,0.95,20.283,38.217,
Blue Owl Capital Inc.,OWL,9.87,-0.02,20.079,15.445,95.4
"Joby Aviation, Inc.",JOBY,8.97,-0.17,19.918,8.785,
"Coupang, Inc.",CPNG,20.41,-1.1,19.689,37.313,195.91
"Rivian Automotive, Inc.",RIVN,17.15,0.23,19.467,21.283,
Strategy Inc,MSTR,163.97,-6.84,19.391,57.215,
"The Trade Desk, Inc.",TTD,23.2,-0.85,19.361,11.043,24.97
"Aurora Innovation, Inc.",AUR,5.16,-0.06,19.305,10.114,
Infosys Limited,INFY,14.07,-0.14,18.862,56.936,18.39
"Cisco Systems, Inc.",CSCO,89.7,1.99,18.637,354.413,31.03
Vale S.A.,VALE,17.45,-0.37,18.592,74.416,27.79
"Eos Energy Enterprises, Inc.",EOSE,7.03,-0.13,18.507,2.387,
Telefonaktiebolaget LM Ericsson (publ),ERIC,11.56,-0.21,18.452,38.534,14.02
AGNC Investment Corp.,AGNC,10.91,0.14,18.236,12.255,7.41
"AST SpaceMobile, Inc.",ASTS,80.01,-0.99,18.179,30.566,
Baytex Energy Corp.,BTE,4.33,0.11,18.035,3.328,
Halliburton Company,HAL,38.15,1.47,17.586,31.952,24.77
"CoreWeave, Inc.",CRWV,115.16,-2.27,17.152,61.595,
Freeport-McMoRan Inc.,FCX,67.57,-2.61,17.073,97.112,46.19
"NIKE, Inc.",NKE,46.39,-0.09,17.057,68.698,30.35
Norwegian Cruise Line Holdings Ltd.,NCLH,19.33,-0.93,17.04,8.806,22.94
Quantum Computing Inc.,QUBT,9.41,-0.42,16.911,2.113,
Keurig Dr Pepper Inc.,KDP,26.44,-0.06,16.323,35.923,17.34
"CleanSpark, Inc.",CLSK,11.51,-0.54,16.306,2.944,
Gerdau S.A.,GGB,4.3,0.02,15.817,8.46,31.26
"Infleqtion, Inc.",INFQ,15.01,-0.99,15.089,3.249,
"Coinbase Global, Inc.",COIN,195.95,-15.68,14.816,52.839,46.39
Kenvue Inc.,KVUE,17.3,-0.28,14.668,33.215,23.17
Abbott Laboratories,ABT,92.72,-3.28,14.646,161.118,27.12
KeyCorp,KEY,22.1,-0.09,14.34,24.029,13.38
"Intuitive Machines, Inc.",LUNR,27.82,0.3,14.332,4.434,
First Majestic Silver Corp.,AG,20.08,-1.44,14.19,9.902,63.42
Exxon Mobil Corporation,XOM,148.36,0.68,13.879,616.667,21.86
Sprott Physical Silver Trust,PSLV,24.32,-1.37,13.736,15.511,
QuantumScape Corporation,QS,6.98,-0.2,13.697,4.276,
The Kraft Heinz Company,KHC,21.98,-0.23,13.628,26.019,
SLB N.V.,SLB,52.77,0.57,13.588,79.215,22.41
Wells Fargo & Company,WFC,81.55,-0.42,13.514,250.763,15.7
Wipro Limited,WIT,2.13,-0.01,13.412,22.782,16.27
United Microelectronics Corporation,UMC,12.33,-0.31,13.08,31.294,22.05
"ImmunityBio, Inc.",IBRX,8.1,-0.1,13.049,8.365,
Hecla Mining Company,HL,18.09,-1.24,13.012,12.131,39.88
"Chipotle Mexican Grill, Inc.",CMG,36.05,0.22,13.004,47.668,31.43
Oklo Inc.,OKLO,62.61,-5.52,13.004,10.867,
CNH Industrial N.V.,CNH,10.79,-0.05,12.925,13.39,25.91
Broadcom Inc.,AVGO,402.17,2.54,12.715,1907.0,79.23
